sIP,domain,subcat
128.59.105.24,columbia.edu,world|reference
80.68.94.117,freenetproject.org,circum
202.67.53.202,square-enix.com,kids_and_teens|games
1.209.122.23,riseup.net,circum
50.19.210.76,mbc.net,world
157.166.248.245,nba.com,sports
62.146.26.38,dict.leo.org,world|reference
68.68.107.161,hotspotshield.com,vpn
38.101.236.62,dit-inc.us,circum
109.201.152.100,planetsuzy.org,adult
23.212.53.183,news.nationalgeographic.com,science
184.28.188.74,fifa.com,kids_and_teens|sports
67.228.171.11,fetlife.com,adult
23.63.217.166,hotwire.com,recreation
204.236.235.200,tmz.com,arts
107.21.120.232,bleacherreport.com,sports
172.233.25.244,online.citibank.com,business
173.231.134.18,dailykos.com,society
23.23.171.117,metacritic.com,arts
206.207.84.93,bodybuilding.com,shopping
50.18.62.138,9gag.com,recreation
173.236.226.119,bravenewsoftware.org,circum
195.93.246.56,ar.rian.ru,world
54.174.118.57,sciencedaily.com,kids_and_teens|science
213.136.89.190,praag.co.za,world
38.69.47.251,merriam-webster.com,reference|business
198.108.24.38,jstor.org,science
144.160.36.42,att.com,business
54.236.202.112,harvard.edu,reference
74.125.28.104,www.google.com,world|regional|computers
207.246.147.179,streamate.com,adult
54.236.148.210,gq.com,society
8.27.227.126,aljazeera.net,world
54.68.178.116,sitepoint.com,kids_and_teens|regional|computers|business
67.135.105.16,hulu.com,arts
128.253.173.244,cornell.edu,reference
209.234.253.125,guardianproject.info,circum
203.176.113.78,indianrail.gov.in,regional|business
192.193.219.58,citibank.com,business
107.21.93.21,pinterest.com,computers
171.67.215.200,stanford.edu,regional|reference
170.146.234.214,adp.com,regional|business
208.78.125.160,eonline.com,arts|business
68.169.198.50,legacy.com,society|shopping
208.43.245.148,m5zn.com,world
207.241.224.2,archive.org,computers|reference
173.223.52.200,verizon.com,regional|business
208.67.123.164,kidshealth.org,kids_and_teens|health
128.30.52.45,w3.org,computers|reference
107.20.226.78,leagueoflegends.com,kids_and_teens|games
54.165.40.136,duolingo.com,science
23.207.61.142,emedicine.medscape.com,health
50.16.229.208,biblegateway.com,society
195.62.67.210,stardoll.com,kids_and_teens|recreation
74.125.28.136,www.youtube.com,computers
208.113.148.140,oglaf.com,adult
196.22.143.67,cricket.co.za,world
144.212.130.17,mathworks.com,science
208.53.33.118,barnesandnoble.com,shopping
107.23.40.26,rollingstone.com,arts
23.3.87.153,www.mint.com,home
134.213.2.238,hm.com,world|regional|shopping|business
161.58.179.241,yellowpages.sulekha.com,reference
65.55.157.144,mail.live.com,world|computers
54.225.67.222,nbcsports.com,sports
208.64.122.67,hidemyass.com,vpn|computers
54.85.149.231,alarabiya.net,news|regional
23.59.189.112,tigerdirect.com,shopping
213.133.104.105,watkykjy.co.za,world
72.233.105.58,phonearena.com,home
109.201.152.98,vintage-erotica-forum.com,adult
159.45.170.143,wellsfargo.com,regional|business
198.58.121.66,sarie.com,world
216.34.181.45,slashdot.org,society|computers
207.223.6.20,cnbc.com,home|arts|news
174.143.228.153,chron.com,news|regional
96.17.202.179,fantasy.nfl.com,sports
23.23.224.106,khanacademy.org,kids_and_teens
54.209.186.217,ign.com,kids_and_teens|arts|games
199.59.149.230,twitter.com,regional|arts|computers|world
213.133.127.174,dict.cc,reference
82.195.75.101,ooni.torproject.org,circum
109.169.47.177,thesafety.us,vpn
172.233.7.37,www.etsy.com,shopping
83.140.21.99,flightradar24.com,recreation
184.73.190.53,individual.com,news
194.150.168.119,globaleaks.org,circum
198.186.175.107,fitnessmagazine.com,health
54.225.69.238,prevention.com,health
185.26.230.129,virtua-fighter-4.com,kids_and_teens
176.65.66.66,elsevier.com,science|reference
69.64.32.253,asexstories.com,adult
199.59.88.246,cam4.com,adult
130.14.29.110,ncbi.nlm.nih.gov,science|health
184.25.56.179,nfl.com,sports
23.59.189.105,quikr.com,regional
66.235.120.127,ask.com,computers
128.95.155.198,washington.edu,reference
194.109.206.212,torDir,circum
193.23.244.244,torDir,circum
131.188.40.189,torDir,circum
50.62.247.1,f2cf.org,circum
199.254.238.52,torDir,circum
