domain,sIP,shared,subcat
sciencedirect.com,198.81.200.2,0,science
netflix.com,23.23.191.68,0,shopping
scientificamerican.com,64.106.177.144,0,science
alexa.com,107.21.200.171,0,computers
williamhill.com,141.138.130.12,1,regional
williamhill.com,141.138.130.12,1,games
manhunt.net,209.67.254.80,0,adult
bitmask.net,199.119.112.23,0,circum
reuters.com,206.132.6.134,1,news
reuters.com,206.132.6.134,1,regional
reuters.com,206.132.6.134,1,business
deezer.com,195.244.30.136,0,arts
makeupalley.com,69.60.134.134,0,health
infowars.com,198.50.131.127,0,society
cnn.com,157.166.226.25,1,science
cnn.com,157.166.226.25,1,teens
cnn.com,157.166.226.25,1,arts
cnn.com,157.166.226.25,1,health
cnn.com,157.166.226.25,1,news
newsnow.co.uk,213.146.191.132,1,news
newsnow.co.uk,213.146.191.132,1,regional
newsnow.co.uk,213.146.191.132,1,sports
alkasir.com,192.249.116.218,0,circum
ftvgirls.com,68.169.80.241,0,adult
whitepages.com,64.124.61.10,0,reference
apa.org,204.14.132.173,1,science
apa.org,204.14.132.173,1,health
foodandwine.com,208.253.22.120,1,home
foodandwine.com,208.253.22.120,1,recreation
justjared.com,66.155.35.222,0,society
femjoy.com,37.72.173.157,0,adult
opendns.com,67.215.92.210,1,home
opendns.com,67.215.92.210,1,computers
search.yahoo.com,98.137.201.252,1,world
search.yahoo.com,98.137.201.252,1,computers
fatakat.com,173.192.128.45,0,world
fixya.com,74.205.22.3,0,home
strongvpn.com,216.131.114.237,0,vpn
justanswer.com,75.101.199.39,0,reference
zh.greatfire.org,54.230.219.62,0,circum
foxnews.com,184.28.188.154,1,news
foxnews.com,184.28.188.154,1,arts
foxnews.com,184.28.188.154,1,regional
foxnews.com,184.28.188.154,1,health
girlsgogames.com,212.72.60.220,0,teens
mrskin.com,204.93.155.69,0,adult
go.com,199.181.131.249,0,computers
adobe.com,192.150.16.117,1,world
adobe.com,192.150.16.117,1,regional
adobe.com,192.150.16.117,1,computers
biblegateway.com,50.16.229.208,0,society
fontsquirrel.com,199.167.42.108,0,teens
ar.rian.ru,195.93.246.56,0,world
caranddriver.com,67.135.105.50,1,recreation
caranddriver.com,67.135.105.50,1,regional
facebook.com,173.252.120.6,1,society
facebook.com,173.252.120.6,1,arts
facebook.com,173.252.120.6,1,regional
facebook.com,173.252.120.6,1,world
washington.edu,128.95.155.198,0,reference
fantasy.nfl.com,96.17.202.179,0,sports
spotify.com,194.132.198.165,0,arts
indeed.com,50.97.195.27,0,business
yellowpages.sulekha.com,161.58.179.241,0,reference
bravenewsoftware.org,173.236.226.119,0,circum
barnesandnoble.com,208.53.33.118,0,shopping
nba.com,157.166.248.245,0,sports
ign.com,54.209.186.217,1,teens
ign.com,54.209.186.217,1,arts
ign.com,54.209.186.217,1,games
space.com,166.70.35.136,1,teens
space.com,166.70.35.136,1,science
archive.org,207.241.224.2,1,computers
archive.org,207.241.224.2,1,reference
prevention.com,54.225.69.238,0,health
virtua-fighter-4.com,185.26.230.129,0,teens
nature.com,199.168.13.77,0,science
nudevista.com,74.117.179.22,0,adult
travel.state.gov,198.211.105.99,1,home
travel.state.gov,198.211.105.99,1,recreation
mbc.net,50.19.210.76,0,world
yellowpages.com,208.93.105.173,0,reference
harvard.edu,54.236.202.112,0,reference
ucla.edu,128.97.27.37,0,reference
cricket.co.za,196.22.143.67,0,world
khanacademy.org,23.23.224.106,0,teens
collegeboard.org,209.48.35.174,1,society
collegeboard.org,209.48.35.174,1,reference
nlm.nih.gov,130.14.16.110,1,regional
nlm.nih.gov,130.14.16.110,1,health
nlm.nih.gov,130.14.16.110,1,reference
sitepoint.com,54.68.178.116,1,teens
sitepoint.com,54.68.178.116,1,regional
sitepoint.com,54.68.178.116,1,computers
sitepoint.com,54.68.178.116,1,business
bettycrocker.com,153.13.148.23,1,home
bettycrocker.com,153.13.148.23,1,business
ask.com,66.235.120.127,0,computers
videosexarchive.com,74.117.180.88,0,adult
debonairblog.com,174.123.175.139,0,adult
watkykjy.co.za,213.133.104.105,0,world
foodnetwork.com,204.78.50.45,0,arts
celebritymoviearchive.com,68.168.105.234,0,adult
autodesk.com,74.220.126.92,0,science
maktoob.com,212.82.102.24,0,world
wordpress.org,66.155.40.250,0,computers
sears.com,165.254.58.67,1,shopping
sears.com,165.254.58.67,1,business
gq.com,54.236.148.210,0,society
guardianproject.info,209.234.253.125,0,circum
consumerreports.org,64.14.32.140,0,home
football.fantasysports.yahoo.com,208.71.44.31,0,sports
sports.yahoo.com,208.71.44.30,0,sports
americanexpress.com,23.74.58.52,1,regional
americanexpress.com,23.74.58.52,1,business
shooshtime.com,54.69.199.81,0,adult
irs.gov,166.123.218.220,1,home
irs.gov,166.123.218.220,1,regional
irs.gov,166.123.218.220,1,business
irs.gov,166.123.218.220,1,society
24hourfitness.com,63.64.130.25,0,health
rivals.com,209.73.183.31,0,sports
timeout.com,162.13.25.27,1,arts
timeout.com,162.13.25.27,1,recreation
w3.org,128.30.52.45,1,computers
w3.org,128.30.52.45,1,reference
nintendo.com,199.227.51.26,1,teens
nintendo.com,199.227.51.26,1,games
globaleaks.org,194.150.168.119,0,circum
online.citibank.com,172.233.25.244,0,business
ups.com,153.2.224.50,1,world
ups.com,153.2.224.50,1,regional
ups.com,153.2.224.50,1,business
behance.net,74.205.63.94,0,business
stardoll.com,195.62.67.210,1,teens
stardoll.com,195.62.67.210,1,recreation
columbia.edu,128.59.105.24,1,world
columbia.edu,128.59.105.24,1,reference
sarie.com,198.58.121.66,0,world
costco.com,170.167.8.1,1,regional
costco.com,170.167.8.1,1,shopping
costco.com,170.167.8.1,1,business
bodybuilding.com,206.207.84.93,0,shopping
tigerdirect.com,23.59.189.112,0,shopping
mail.live.com,65.55.157.144,1,world
mail.live.com,65.55.157.144,1,computers
individual.com,184.73.190.53,0,news
payserve.com,46.22.70.12,0,adult
siteadvisor.com,161.69.13.140,1,society
siteadvisor.com,161.69.13.140,1,world
battle.net,12.129.242.30,1,teens
battle.net,12.129.242.30,1,games
verizon.com,173.223.52.200,1,regional
verizon.com,173.223.52.200,1,business
wellsfargo.com,159.45.170.143,1,regional
wellsfargo.com,159.45.170.143,1,business
ooni.torproject.org,82.195.75.101,0,circum
freenetproject.org,80.68.94.117,0,circum
metoffice.gov.uk,207.108.220.146,1,news
metoffice.gov.uk,207.108.220.146,1,science
mathworks.com,144.212.130.17,0,science
hidemyass.com,208.64.122.67,1,vpn
hidemyass.com,208.64.122.67,1,computers
fifa.com,184.28.188.74,1,teens
fifa.com,184.28.188.74,1,sports
rollingstone.com,107.23.40.26,0,arts
espn.go.com,68.71.212.186,1,arts
espn.go.com,68.71.212.186,1,regional
espn.go.com,68.71.212.186,1,reference
espn.go.com,68.71.212.186,1,business
espn.go.com,68.71.212.186,1,sports
quikr.com,23.59.189.105,0,regional
phonearena.com,72.233.105.58,0,home
eonline.com,208.78.125.160,1,arts
eonline.com,208.78.125.160,1,business
macys.com,165.254.237.138,1,regional
macys.com,165.254.237.138,1,shopping
flightradar24.com,83.140.21.99,0,recreation
twitter.com,199.59.149.230,1,regional
twitter.com,199.59.149.230,1,arts
twitter.com,199.59.149.230,1,computers
twitter.com,199.59.149.230,1,world
filgoal.com,5.79.46.84,0,sports
pinterest.com,107.21.93.21,0,computers
news.nationalgeographic.com,23.212.53.183,0,science
eenadu.net,8.25.218.36,1,news
eenadu.net,8.25.218.36,1,world
nationalgeographic.com,74.217.81.233,1,news
nationalgeographic.com,74.217.81.233,1,science
dailykos.com,173.231.134.18,0,society
nbcnews.com,50.204.7.40,1,home
nbcnews.com,50.204.7.40,1,arts
nbcnews.com,50.204.7.40,1,news
salon.com,54.164.19.177,1,society
salon.com,54.164.19.177,1,arts
salon.com,54.164.19.177,1,regional
medcohealth.com,167.211.100.20,0,health
thehun.net,199.19.201.199,0,adult
fetlife.com,67.228.171.11,0,adult
thesafety.us,109.169.47.177,0,vpn
streamate.com,207.246.147.179,0,adult
kidshealth.org,208.67.123.164,1,teens
kidshealth.org,208.67.123.164,1,health
legacy.com,68.169.198.50,1,society
legacy.com,68.169.198.50,1,shopping
discogs.com,70.103.226.22,0,arts
fitnessmagazine.com,198.186.175.107,0,health
bhg.com,198.186.175.108,0,home
office.com,134.170.65.86,1,computers
office.com,134.170.65.86,1,business
nbcsports.com,54.225.67.222,0,sports
snopes.com,54.243.247.173,0,society
www.google.com,74.125.28.104,1,world
www.google.com,74.125.28.104,1,regional
www.google.com,74.125.28.104,1,computers
duolingo.com,54.165.40.136,0,science
nhs.uk,94.245.104.73,1,regional
nhs.uk,94.245.104.73,1,health
asexstories.com,69.64.32.253,0,adult
thekitchn.com,209.126.235.135,0,home
hotwire.com,23.63.217.166,0,recreation
priceline.com,64.6.28.5,0,recreation
aljazeera.net,8.27.227.126,0,world
kmart.com,165.254.58.27,1,shopping
kmart.com,165.254.58.27,1,business
chron.com,174.143.228.153,1,news
chron.com,174.143.228.153,1,regional
www.dropbox.com,108.160.165.20,0,computers
jstor.org,198.108.24.38,0,science
alarabiya.net,54.85.149.231,1,news
alarabiya.net,54.85.149.231,1,regional
cnbc.com,207.223.6.20,1,home
cnbc.com,207.223.6.20,1,arts
cnbc.com,207.223.6.20,1,news
hilton.com,167.187.200.23,0,recreation
docs.google.com,74.125.28.113,1,world
docs.google.com,74.125.28.113,1,computers
psu.edu,146.186.15.17,0,reference
ibvpn.com,69.167.173.133,0,vpn
cafemom.com,69.60.11.100,0,home
www.etsy.com,172.233.7.37,0,shopping
www.mint.com,23.3.87.153,0,home
stanford.edu,171.67.215.200,1,regional
stanford.edu,171.67.215.200,1,reference
dit-inc.us,38.101.236.62,0,circum
cdc.gov,198.246.102.49,1,science
cdc.gov,198.246.102.49,1,regional
cdc.gov,198.246.102.49,1,health
usnews.com,208.77.248.169,0,news
ipvanish.com,69.16.128.162,0,vpn
ncbi.nlm.nih.gov,130.14.29.110,1,science
ncbi.nlm.nih.gov,130.14.29.110,1,health
pch.com,216.248.207.17,0,games
food.com,204.78.50.82,0,home
ed.gov,165.224.212.39,1,regional
ed.gov,165.224.212.39,1,reference
allrecipes.com,64.94.140.201,0,home
9gag.com,50.18.62.138,0,recreation
chess.com,68.71.245.5,0,games
arxiv.org,128.84.21.199,0,science
aventertainments.com,69.28.53.205,0,adult
freelotto.com,64.14.48.177,0,games
www.chase.com,159.53.224.21,1,regional
www.chase.com,159.53.224.21,1,business
torDir,86.59.21.38,0,circum
torDir,194.109.206.212,0,circum
torDir,131.188.40.189,0,circum
torDir,193.23.244.244,0,circum
torDir,154.35.175.225,0,circum
torDir,199.254.238.52,0,circum
