sIP,domain,subcat
68.168.105.234,celebritymoviearchive.com,adult
74.220.126.92,autodesk.com,science
212.82.102.24,maktoob.com,world
66.155.40.250,wordpress.org,computers
165.254.58.67,sears.com,shopping|business
54.236.148.210,gq.com,society
209.234.253.125,guardianproject.info,circum
64.14.32.140,consumerreports.org,home
208.71.44.31,football.fantasysports.yahoo.com,sports
208.71.44.30,sports.yahoo.com,sports
23.74.58.52,americanexpress.com,regional|business
54.69.199.81,shooshtime.com,adult
166.123.218.220,irs.gov,home|regional|business|society
63.64.130.25,24hourfitness.com,health
209.73.183.31,rivals.com,sports
162.13.25.27,timeout.com,arts|recreation
128.30.52.45,w3.org,computers|reference
199.227.51.26,nintendo.com,teens|games
194.150.168.119,globaleaks.org,circum
172.233.25.244,online.citibank.com,business
153.2.224.50,ups.com,world|regional|business
74.205.63.94,behance.net,business
195.62.67.210,stardoll.com,teens|recreation
128.59.105.24,columbia.edu,world|reference
198.58.121.66,sarie.com,world
170.167.8.1,costco.com,regional|shopping|business
206.207.84.93,bodybuilding.com,shopping
23.59.189.112,tigerdirect.com,shopping
65.55.157.144,mail.live.com,world|computers
184.73.190.53,individual.com,news
46.22.70.12,payserve.com,adult
161.69.13.140,siteadvisor.com,society|world
12.129.242.30,battle.net,teens|games
173.223.52.200,verizon.com,regional|business
159.45.170.143,wellsfargo.com,regional|business
82.195.75.101,ooni.torproject.org,circum
80.68.94.117,freenetproject.org,circum
207.108.220.146,metoffice.gov.uk,news|science
144.212.130.17,mathworks.com,science
208.64.122.67,hidemyass.com,vpn|computers
184.28.188.74,fifa.com,teens|sports
107.23.40.26,rollingstone.com,arts
68.71.212.186,espn.go.com,arts|regional|reference|business|sports
23.59.189.105,quikr.com,regional
72.233.105.58,phonearena.com,home
208.78.125.160,eonline.com,arts|business
165.254.237.138,macys.com,regional|shopping
83.140.21.99,flightradar24.com,recreation
199.59.149.230,twitter.com,regional|arts|computers|world
5.79.46.84,filgoal.com,sports
107.21.93.21,pinterest.com,computers
23.212.53.183,news.nationalgeographic.com,science
8.25.218.36,eenadu.net,news|world
74.217.81.233,nationalgeographic.com,news|science
173.231.134.18,dailykos.com,society
50.204.7.40,nbcnews.com,home|arts|news
54.164.19.177,salon.com,society|arts|regional
167.211.100.20,medcohealth.com,health
199.19.201.199,thehun.net,adult
67.228.171.11,fetlife.com,adult
109.169.47.177,thesafety.us,vpn
207.246.147.179,streamate.com,adult
208.67.123.164,kidshealth.org,teens|health
68.169.198.50,legacy.com,society|shopping
70.103.226.22,discogs.com,arts
198.186.175.107,fitnessmagazine.com,health
198.186.175.108,bhg.com,home
134.170.65.86,office.com,computers|business
54.225.67.222,nbcsports.com,sports
54.243.247.173,snopes.com,society
74.125.28.104,www.google.com,world|regional|computers
54.165.40.136,duolingo.com,science
94.245.104.73,nhs.uk,regional|health
69.64.32.253,asexstories.com,adult
209.126.235.135,thekitchn.com,home
23.63.217.166,hotwire.com,recreation
64.6.28.5,priceline.com,recreation
8.27.227.126,aljazeera.net,world
165.254.58.27,kmart.com,shopping|business
174.143.228.153,chron.com,news|regional
108.160.165.20,www.dropbox.com,computers
198.108.24.38,jstor.org,science
54.85.149.231,alarabiya.net,news|regional
207.223.6.20,cnbc.com,home|arts|news
167.187.200.23,hilton.com,recreation
74.125.28.113,docs.google.com,world|computers
146.186.15.17,psu.edu,reference
69.167.173.133,ibvpn.com,vpn
69.60.11.100,cafemom.com,home
172.233.7.37,www.etsy.com,shopping
23.3.87.153,www.mint.com,home
171.67.215.200,stanford.edu,regional|reference
38.101.236.62,dit-inc.us,circum
198.246.102.49,cdc.gov,science|regional|health
208.77.248.169,usnews.com,news
69.16.128.162,ipvanish.com,vpn
130.14.29.110,ncbi.nlm.nih.gov,science|health
216.248.207.17,pch.com,games
204.78.50.82,food.com,home
165.224.212.39,ed.gov,regional|reference
64.94.140.201,allrecipes.com,home
50.18.62.138,9gag.com,recreation
68.71.245.5,chess.com,games
128.84.21.199,arxiv.org,science
69.28.53.205,aventertainments.com,adult
64.14.48.177,freelotto.com,games
159.53.224.21,www.chase.com,regional|business
86.59.21.38,torDir,circum
194.109.206.212,torDir,circum
131.188.40.189,torDir,circum
193.23.244.244,torDir,circum
154.35.175.225,torDir,circum
199.254.238.52,torDir,circum
